ACCOUNT_NO,PARCELNUMBER,DOC_OCCURENCE,ACTUAL_YEAR_BLT,ABSTRACT_CODE,ABSTRACT_DESC,BUILDING_CODE,BUILDING_DESC,BEDROOMS,BATHROOMS,NUMBER_STORIES,IMPSQFT,UNITS,MODEL,ARCH_STYLE_DESC
"R003775","566516414002",0,1979,"1212","SINGLE FAM RES  ","1232","TOWNHOME IN DGO",3,2,2,1133,,"SFR","TOWNHOME"
"R003816","566529311015",0,1903,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",3,2,1,1195,2,"SFR","CONVENTION"
"R003816","566529311015",1,1946,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",2,2,1,768,2,"SFR","CONVENTION"
"R003817","566529303014",0,1904,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",4,2,1.5,1840,2,"SFR","CONVENTION"
"R003818","566912106001",0,1950,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,1419,0,"SFR","CONVENTION"
"R003826","537530401018",0,1972,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2.5,1.5,1637,0,"SFR","CABIN"
"R003828","566517112017",0,1953,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,720,0,"SFR","CONVENTION"
"R003839","566520204023",0,1972,"2230","SPECIAL PURPOSE ","2230","SPECIAL PURPOSE",0,2,1,1064,0,"COMMERCIAL","SPEC PURPOSE"
"R003845","566516321007",0,1966,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2,1,1455,0,"SFR","CONVENTION"
"R003858","537729403007",0,1974,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,1120,0,"SFR","LOG HOME"
"R007082","566517312010",0,1955,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,1238,,"SFR","CONVENTION"
"R007083","566515201021",0,1973,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2.75,2,2540,,"SFR","SPLIT LEVEL"
"R007088","566516314010",0,1963,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1140,0,"SFR","CONVENTION"
"R007090","566129206022",0,1978,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1680,0,"SFR","RANCH"
"R007106","566520206013",0,1917,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,826,0,"SFR","CONVENTION"
"R007107","590511101007",0,1977,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,1735,,"SFR","RANCH"
"R007118","566517325007",0,1958,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2234,,"SFR","RANCH"
"R007119","566520315007",0,1957,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2225,,"SFR","BI LEVEL"
"R007125","566517315027",0,1962,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",3,2.75,1,1890,2,"SFR","CONVENTION"
"R007135","616501400074",0,1960,"4277","FARM/RANCH RESI ","4277","FARM/RANCH RESI",3,1,1.5,2188,0,"SFR","CONVENTION"
"R007141","591135301037",0,1980,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1288,0,"SFR","CONVENTION"
"R007147","566520315018",0,1958,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2146,,"SFR","MODERN"
"R007161","595111301002",0,2002,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1750.5,0,"SFR","CONVENTION"
"R007173","566517205004",0,1959,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,1263,0,"SFR","RANCH"
"R007179","590507301017",0,1978,"3215","MANUFACT/PROCES ","3212","CONTRACTING/SER",0,2,1,14644,0,"COMMERCIAL","MANUF\DISTRIBU"
"R007109","567502108009",0,1995,"1212","SINGLE FAM RES  ","1299","MODULAR SFR",3,2,1,3192,0,"SFR","MODULAR"
"R007110","565710400006",0,1966,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,2,2135.75,0,"SFR","CONVENTION"
